Vendedor,Cliente,Nombre,Categoria,Material,Descripción,Presentación,Embalaje,Enero 24,Febrero 24,Marzo 24,Abril 24,Mayo 24,Junio 24,Julio 24,Agosto 24,Septiembre 24,Octubre 24,Noviembre 24,Diciembre 24,Enero 25,Febrero 25,Marzo 25,Abril 25,Mayo 25,Junio 25,Julio 25,Agosto 25,Septiembre 25,Octubre 25,Noviembre 25,Diciembre 25,Pedido1,Pedido2,Total
002,20013769,ACROPOLIS HOME STORE FERRETERIA,PINTURA ESMALTE,CD10784,ESMALTE ALQUIDICO ALUMINIO LITRO,LITRO,CAJA 6 UN,,,,,,,,6.0,,,6.0,,,,,,,,,7.2,,,7.2,,,,
002,20013769,ACROPOLIS HOME STORE FERRETERIA,PINTURA ESMALTE,CD10790,ESMALTE ALQUIDICO ALUM GL,GALON,CAJA 4 UN,,,,,,,4.0,,,,,,,,,,,,4.8,,,,,,,,
002,20013769,ACROPOLIS HOME STORE FERRETERIA,PINTURA ESMALTE,CD30023,SINT AUT AUTOPLAST NEGRO GALON,GALON,CAJA 4 UN,,,,,4.0,,,4.0,4.0,,,4.0,,,,,4.8,,,4.8,4.8,,,4.8,,,
002,20013769,ACROPOLIS HOME STORE FERRETERIA,PINTURA ESMALTE,CD30024,SINT AUT AUTOPLAST NEGRO LITRO,LITRO,CAJA 6 UN,,,,,,,,,6.0,,,,,,,,,,,,7.2,,,,,,
002,20013769,ACROPOLIS HOME STORE FERRETERIA,PINTURA ESMALTE,CD30053,SINT AUT AUTOPLAST BLANCO GALON,GALON,CAJA 4 UN,4.0,,,,,,,,4.0,,,,4.8,,,,,,,,4.8,,,,,,
002,20013769,ACROPOLIS HOME STORE FERRETERIA,PINTURA ESMALTE,CD30054,SINT AUT AUTOPLAST BLANCO LITRO,LITRO,CAJA 6 UN,,,,,,,,,6.0,,,,,,,,,,,,7.2,,,,,,
002,20013769,ACROPOLIS HOME STORE FERRETERIA,PINTURA ESMALTE,CD50012,ANTICORROSIVO DURACOLOR NEGRO CANECA,CANECA,1 UN,3.0,,,,,,2.0,1.0,,,1.0,3.0,3.6,,,,,,2.4,1.2,,,1.2,3.6,,,
002,20013769,ACROPOLIS HOME STORE FERRETERIA,PINTURA ESMALTE,CD50013,ANTICORROSIVO DURACOLOR NEGRO GALON,GALON,4 UN,20.0,,12.0,20.0,,12.0,12.0,,8.0,8.0,20.0,8.0,24.0,,14.4,24.0,,14.4,14.4,,9.6,9.6,24.0,9.6,,,
002,20013769,ACROPOLIS HOME STORE FERRETERIA,PINTURA ESMALTE,CD50014,ANTICORROSIVO DURACOLOR NEGRO LITRO,LITRO,6 UN,,,,,12.0,,6.0,,,,12.0,,,,,,14.4,,7.2,,,,14.4,,,,
002,20013769,ACROPOLIS HOME STORE FERRETERIA,PINTURA ESMALTE,CD50042,ANTICORROSIVO DURACOLOR GRIS CANECA,CANECA,1 UN,1.0,,,1.0,,,,,,,2.0,4.0,1.2,,,1.2,,,,,,,2.4,4.8,,,
